AccelActuPosHSC1,EnSpdHSC1,MSLongAccelGHSC,EnToqActuExtdRngHSC1,VehSpdAvgDrvnHSC1,VehSpdAvgNonDrvnHSC1,AutocTrCmddGear_TCMHSC1,TrEstdGear_TCMHSC1,EnActuStdyStaToq_LSBHSC1,EnActuStdyStaToq_MSBHSC1,kickdown
0,1689.5,0.046,83,27.906,27.719,3,4,-847,928,0
0,1752,0.049,78,27.906,27.719,3,4,-843.5,920,0
0,1779,0.073,76,28.016,27.875,3,4,-847,912,0
0,1763.5,0.091,55,28.016,27.875,3,4,-843,888,0
0,1714,0.077,40,28.266,28.094,3,4,-844.5,880,0
0,1686.5,0.041,32,28.266,28.094,3,4,-843,872,0
0,1695.5,-0.002,25.5,28.313,28.125,3,4,-844.5,872,0
0,1692.5,-0.003,21,28.313,28.125,3,4,-845,864,0
0,1696,-0.022,18,28.281,28.297,3,4,-846.5,864,0
0,1710.5,-0.049,17.5,28.281,28.297,3,4,-842.5,856,0
0,1761,-0.006,13,28.156,28.109,3,4,-844,856,0
0,1761,0.002,10.5,28.156,28.109,3,4,-845.5,856,0
0,1754.5,0.011,9.5,28.047,28,3,3,-847.5,856,0
0,1756.5,0.003,10,28.047,28,3,3,-848,856,0
0,1738,0.035,9.5,28.078,27.984,3,3,-846.5,856,0
0,1725.5,0.006,8,28.078,27.984,3,3,-848,856,0
0,1717.5,0,8.5,28.078,27.828,3,3,-847,856,0
0,1716,0,7.5,28.078,27.828,3,3,-841,848,0
0,1721,0.011,6.5,27.953,27.859,3,3,-840.5,848,0
0,1720,0.008,6.5,27.953,27.859,3,3,-842,848,0
0,1711,0.01,6.5,27.891,27.828,3,3,-843.5,848,0
0,1701,0.013,5,27.891,27.828,3,3,-842.5,848,0
0,1692,0.005,5,27.875,27.719,3,3,-843.5,848,0
0,1686,0,4,27.875,27.719,3,3,-844.5,848,0
0,1683.5,-0.01,4,27.875,27.688,3,3,-844,848,0
0,1688,-0.027,2.5,27.875,27.688,3,3,-844,848,0
0,1709.5,-0.016,2.5,27.734,27.641,3,3,-846.5,848,0
0,1710.5,-0.002,3.5,27.734,27.641,3,3,-848,848,0
0,1709,0.01,2,27.625,27.516,3,3,-845.5,848,0
0,1707,0.005,1.5,27.625,27.516,3,3,-848,848,0
0,1695,0,1.5,27.563,27.563,3,3,-848,848,0
0,1687.5,0.005,0.5,27.563,27.563,3,3,-840.5,840,0
0,1681.5,0,-0.5,27.5,27.375,3,3,-840.5,840,0
0,1677,0.005,0.5,27.5,27.375,3,3,-841,840,0
0,1667,-0.006,0,27.438,27.359,3,3,-842,840,0
0,1679,-0.016,-2,27.438,27.359,3,3,-841,840,0
0,1693,-0.014,-2,27.375,27.375,3,3,-842.5,840,0
0,1687,-0.006,-2.5,27.375,27.375,3,3,-843.5,840,0
0,1678,0,-4,27.266,27.188,3,3,-844.5,840,0
0,1675,0,-5,27.266,27.188,3,3,-846,840,0
0,1657.5,-0.005,-5.5,27.266,27.188,3,3,-847,840,0
0,1659,-0.019,-6.5,27.266,27.188,3,3,-847.5,840,0
0,1671.5,-0.019,-8.5,27.141,27.109,3,3,-848,840,0
10.196,1670,-0.011,-8,27.141,27.109,3,3,-840.5,832,0
23.922,1655.5,-0.011,-7,27.031,26.938,3,3,-846,840,0
39.216,1657.5,-0.011,-4.5,27.031,26.938,3,3,-844,840,0
40,1655.5,-0.011,-3,26.875,26.797,3,3,-840.5,840,0
40.392,1659,-0.002,1,26.875,26.797,3,3,-846.5,848,0
40.392,1672.5,0.002,0,26.797,26.781,3,3,-845,848,0
40.392,1685.5,0.008,0.5,26.797,26.781,3,3,-841,840,0
40.392,1677.5,0.011,4,26.781,26.719,3,3,-841,848,0
40.784,1713.5,0.027,2,26.781,26.719,3,3,-847,848,0
40.784,1670,0.064,15.5,26.75,26.625,3,3,-845,864,0
40.784,1657.5,0.053,26,26.75,26.625,3,3,-848,872,0
40.784,1660.5,0.051,27,26.969,26.563,3,3,-843.5,864,0
40.784,1652,0.045,20,26.969,26.563,3,3,-842.5,872,0
40.784,1663.5,0.027,36.5,26.875,26.875,3,3,-842.5,872,0
40.784,1679,0.046,30.5,26.875,26.875,3,3,-841,872,0
40.784,1675.5,0.054,33,26.906,26.891,3,3,-846,888,0
40.784,1683,0.061,44.5,26.906,26.891,3,3,-843,888,0
40.784,1697,0.069,48,27.094,26.766,3,3,-846,896,0
40.784,1693,0.07,50,27.094,26.766,3,3,-848,904,0
40.784,1702.5,0.073,58.5,27.297,27.078,3,3,-845,904,0
40.784,1715,0.081,61,27.297,27.078,3,3,-843,904,0
40.784,1716,0.088,63,27.438,27.297,3,3,-847,912,0
40.784,1720.5,0.091,64.5,27.438,27.297,3,3,-841,912,0
